n;rec;trp;sim
2;0.007432894845659566;0.015186152773387973;0.0012972638844990225
4;0.0019272893400540392;0.0038766289638642037;0.0001067876940229473
8;0.00048662651674191704;0.0009746698119050823;0.000007350094585301115
16;0.00012196622897420184;0.0002440216475814161;0.00000047225947363838117
32;0.000030511062387272858;0.0000610277093034961;0.00000002972987755978096
64;0.000007628987133023735;0.000015258323458056111;0.000000001861509502099068
128;0.000001907323167960051;0.0000038146681622386325;0.00000000011639733621393589
256;0.0000004768355661433077;0.000000953672497971958;0.000000000007275402502671113
512;0.00000011920919040786515;0.00000023841846463756866;0.0000000000004550804177938517
1024;0.000000029802315726357165;0.00000005960463778098557;0.00000000000002786659791809143
2048;0.00000000745058115203534;0.000000014901162970204496;0.0000000000000021094237467877974
4096;0.0000000018626450382086546;0.000000003725289521305797;0.0000000000000002220446049250313
8192;0.0000000004656625085530663;0.0000000009313246840392253;0.0000000000000002220446049250313
16384;0.00000000011641443364851511;0.00000000023282920036393762;0.0000000000000002220446049250313
32768;0.00000000002910882646034452;0.000000000058204441266695994;0.00000000000000011102230246251565
65536;0.000000000007274403301948951;0.000000000014559575767236765;0.0000000000000043298697960381105
131072;0.000000000001832867191353671;0.000000000003655187263973403;0.0000000000000036637359812630166
262144;0.0000000000004699574063238288;0.0000000000008945066909404886;0.0000000000000034416913763379853
524288;0.00000000000009237055564881302;0.0000000000002199351811782435;0.000000000000015210055437364645
1048576;0.0000000000000049960036108132044;0.00000000000006306066779870889;0.000000000000011657341758564144
2097152;0.000000000000014210854715202004;0.000000000000019872992140790302;0.00000000000001765254609153999
4194304;0.000000000000014654943925052066;0.00000000000003086420008457935;0.000000000000016209256159527285
8388608;0.000000000000007549516567451064;0.00000000000006517009154549669;0.000000000000020095036745715333
16777216;0.00000000000007605027718682322;0.000000000000033306690738754696;0.000000000000026756374893466273
33554432;0.00000000000013777867735598193;0.00000000000008715250743307479;0.00000000000006183942247162122
67108864;0.00000000000004973799150320701;0.000000000000350941498084012;0.00000000000012101430968414206
134217728;0.000000000000022870594307278225;0.00000000000008215650382226158;0.00000000000008382183835919932
