n;rec;trp;sim
2;0.026172152977030905;0.0519405510314801;0.0022798774922103693
4;0.006454542799563923;0.012884199027224486;0.00013458497419382986
8;0.0016081890839751978;0.003214828113830448;0.000008295523967749574
16;0.00040170815496520795;0.0008033195149277361;0.0000005166847063531321
32;0.00010040586418336162;0.00020080567998148613;0.00000003226500089326123
64;0.000025100142951872684;0.0000501999078987847;0.0000000020161285974040766
128;0.000006274953050500187;0.000012549882473456009;0.00000000012600098742154842
256;0.0000015687330969793578;0.000003137464712255067;0.000000000007874811913666235
512;0.00000039218294811682597;0.0000007843658088590999;0.0000000000004920508445138694
1024;0.00000009804571288185571;0.000000196091429649492;0.00000000000003175237850427948
2048;0.000000024511420892991964;0.00000004902285621888325;0.0000000000000013322676295501878
4096;0.000000006127809815126284;0.000000012255716441700315;0.0000000000000004440892098500626
8192;0.00000000153197765584423;0.0000000030639283332689615;0.0000000000000004440892098500626
16384;0.00000000038301850580069186;0.0000000007659772816026589;0.0000000000000024424906541753444
32768;0.00000000009584688598351931;0.00000000019150170338377848;0.000000000000005329070518200751
65536;0.000000000024666269027306953;0.00000000004785949414554125;0.000000000000003552713678800501
131072;0.000000000007135625423870806;0.000000000011965983759409937;0.00000000000000588418203051333
262144;0.0000000000028705926524708048;0.0000000000029678481894279685;0.000000000000015654144647214707
524288;0.000000000004013123167112553;0.0000000000007547296121401814;0.000000000000013988810110276972
1048576;0.000000000005888733944914293;0.00000000000020528023725319144;0.000000000000018984813721090177
2097152;0.000000000012315704012166862;0.00000000000000255351295663786;0.000000000000029753977059954195
4194304;0.000000000024947599541746968;0.00000000000008038014698286133;0.00000000000002220446049250313
8388608;0.00000000006212397263283265;0.0000000000001602051824534101;0.000000000000019761969838327786
16777216;0.00000000008530087747260495;0.00000000000001687538997430238;0.00000000000004729550084903167
33554432;0.0000000002081566030653903;0.00000000000009747758156208874;0.00000000000009614531393253856
67108864;0.00000000041129366579184534;0.0000000000005887512699587205;0.00000000000003952393967665557
134217728;0.000000000983412351551749;0.0000000000007137623825315131;0.000000000000011546319456101628
