n;rec;trp;sim
2;0.017769111808837;0.03564926400578017;0.0005793234175477391
4;0.0044665486879580385;0.008940076098471472;0.000037013462701906974
8;0.001118163463358135;0.002236763705256939;0.000002326240851502348
16;0.0002796364063846202;0.000559300120949402;0.0000001455928468896417
32;0.00006991507518638862;0.00013983185728161374;0.000000009102726572507436
64;0.000017479142182308394;0.00003495839104905585;0.0000000005689695381505544
128;0.000004369808882742632;0.000008739624432818616;0.00000000003556155370176839
256;0.0000010924536799628015;0.000002184907774704925;0.0000000000022222224060897133
512;0.0000002731135100297877;0.0000005462270491474186;0.0000000000001383337888682945
1024;0.00000006827838361367355;0.00000013655676789348092;0.000000000000009547918011776346
2048;0.000000017069595292795725;0.00000003413919236194829;0
4096;0.000000004267396880308638;0.00000000853480019991082;0.0000000000000004440892098500626
8192;0.0000000010668437244731876;0.000000002133694332329128;0.000000000000002220446049250313
16384;0.0000000002667190912575279;0.0000000005334181985006126;0.000000000000002220446049250313
32768;0.0000000000666773303237278;0.00000000013336109994099843;0.000000000000006661338147750939
65536;0.000000000016685763881696403;0.000000000033329561333061974;0.0000000000000017763568394002505
131072;0.00000000000414712708618481;0.0000000000083357765134906;0.000000000000014210854715202004
262144;0.000000000001036060126580196;0.000000000002071454119345617;0.000000000000013766765505351941
524288;0.00000000000024580337765200966;0.0000000000004853895063661184;0.0000000000000002220446049250313
1048576;0.00000000000003730349362740526;0.00000000000015054624213917123;0.000000000000002220446049250313
2097152;0.0000000000000002220446049250313;0.00000000000012989609388114332;0.00000000000002531308496145357
4194304;0.00000000000008970602038971265;0.00000000000015654144647214707;0.000000000000043298697960381105
8388608;0.000000000000031530333899354446;0.00000000000006505906924303417;0.00000000000011213252548714081
16777216;0.00000000000011812772982011666;0.00000000000005906386491005833;0.00000000000004285460875053104
33554432;0.00000000000010613732115416497;0.00000000000007860379014346108;0.0000000000000985878045867139
67108864;0.00000000000004618527782440651;0.000000000000011324274851176597;0.00000000000009681144774731365
134217728;0.00000000000015876189252139739;0.0000000000001687538997430238;0.00000000000002708944180085382
