n;pi;verr;int;ierr
4;2.82842712474619;0.31316552884360327;2.9760677434251694;0.16552491016462367
8;3.061467458920718;0.0801251946690753;3.0835951549469613;0.05799749864283177
16;3.1214451522580537;0.02014750133173937;3.121189169775418;0.02040348381437518
32;3.1365484905459367;0.005044163043856464;3.1343976689845974;0.007194984605195742
64;3.1403311569547627;0.0012614966350303902;3.1390522178935947;0.00254043569619844
128;3.1412772509327738;0.000315402657019348;3.1406950760805357;0.0008975775092574523
256;3.14151380114432;0.00007885244547312098;3.141275418935591;0.000317234654202192
512;3.141572940367057;0.00001971322273597309;3.141480513144103;0.0001121404456903008
1024;3.1415877252770987;0.000004928312694385539;3.141553009307128;0.00003964428266511888
2048;3.1415914215112775;0.0000012320785156560987;3.1415786378121404;0.000014015777652698347
4096;3.1415923455698564;0.0000003080199366678471;3.141587698368927;0.00000495522086607636
8192;3.1415925765843506;0.00000007700544246702634;3.14159090167319;0.000001751916602898973
16384;3.1415926343396046;0.00000001925018855430949;3.1415920341970125;0.0000006193927806208421
32768;3.1415926487800414;0.0000000048097517080236685;3.1415924346019644;0.00000021898782875950928
65536;3.1415926523898863;0.0000000011999068405543767;3.141592576166007;0.00000007742378604902456
131072;3.1415926532933205;0.00000000029647262422827225;3.141592626216365;0.000000027373427968768738
262144;3.1415926534873386;0.0000000001024544893368784;3.1415926439118254;0.000000009677967760524098
524288;3.1415926536258625;0.000000000036069369713231936;3.141592650168132;0.000000003421661176616908
1048576;3.141592653505308;0.00000000008448530763871531;3.1415926523800572;0.0000000012097358670359881
2097152;3.1415926534868075;0.00000000010298562003185907;3.1415926531620944;0.0000000004276987652929165
4194304;3.1415926537024776;0.00000000011268452837498444;3.1415926534386918;0.0000000001511013536514838
8388608;3.1415926527960396;0.0000000007937535073665458;3.1415926535363483;0.000000000053444804137825486
16777216;3.141592652200828;0.0000000013889649430609552;3.1415926535709944;0.000000000018798740342163
33554432;3.141592651903217;0.000000001686576212023283;3.1415926535829835;0.00000000000680966394384086
