n;rec;trp;sim
2;0.22144146907918305;0.42920367320510344;0.09439510239319526
4;0.052344305954062254;0.1038811020629602;0.0045597549844207386
8;0.012909085599127845;0.025768398054449193;0.00026916994838765973
16;0.0032163781679490633;0.006429656227660452;0.000016591047935499148
32;0.0008034163099290836;0.0016066390298559163;0.0000010333694127062643
64;0.0002008117283680555;0.00040161135996252817;0.00000006453000134243325
128;0.00005020028590729808;0.00010039981579623714;0.000000004032257194808153
256;0.000012549906104553088;0.000025099764946912018;0.0000000002520024189323067
512;0.000003137466175751058;0.000006274929423177866;0.00000000001574962382733247
1024;0.0000007843658913486706;0.0000015687316166079768;0.0000000000009841016890277388
2048;0.0000001960914022269833;0.00000039218286218556386;0.00000000000005995204332975845
4096;0.000000049022700121525986;0.00000009804571554639097;0.000000000000004440892098500626
8192;0.000000012255866543853244;0.000000024511425555928668;0.0000000000000011102230246251565
16384;0.0000000030639442094582137;0.000000006127861995608441;0.000000000000003552713678800501
32768;0.0000000007664309187305207;0.0000000015319732149521315;0.0000000000000013322676295501878
65536;0.00000000019383117333404698;0.0000000003829849770653482;0.000000000000004440892098500626
131072;0.00000000005085576404439962;0.0000000000957003365442688;0.000000000000004440892098500626
262144;0.000000000015146106591146236;0.000000000023931967518819874;0.000000000000009992007221626409
524288;0.000000000015382140006181544;0.000000000005998090912839871;0.000000000000019539925233402755
1048576;0.000000000009829470570821286;0.0000000000014843681839238343;0.000000000000026201263381153694
2097152;0.000000000047980286410620465;0.00000000000023647750424515834;0.00000000000006905587213168474
4194304;0.00000000006959677278928211;0.00000000000011324274851176597;0.00000000000006483702463810914
8388608;0.0000000002705620172349654;0.0000000000002511324481702104;0.00000000000012567724638756772
16777216;0.00000000014393619629515797;0.0000000000004578559753554146;0.00000000000008304468224196171
33554432;0.0000000007909775057157731;0.0000000000005777600620149315;0.000000000000043076653355456074
67108864;0.000000001136155614034351;0.0000000000016278089987054045;0.0000000000002944311461305915
134217728;0.000000004307577849971267;0.0000000000007829292769656604;0.000000000001284083950281456
