n;rec;trp;sim
2;0.16666666666666663;0.33333333333333337;0
4;0.04166666666666663;0.08333333333333337;0
8;0.01041666666666663;0.02083333333333337;0
16;0.0026041666666666297;0.00520833333333337;0
32;0.0006510416666666297;0.0013020833333333703;0
64;0.00016276041666662966;0.00032552083333337034;0
128;0.00004069010416662966;0.00008138020833337034;0
256;0.00001017252604162966;0.00002034505208337034;0
512;0.0000025431315103796592;0.000005086263020870341;0
1024;0.0000006357828775671592;0.0000012715657552453408;0
2048;0.00000015894571936403423;0.00000031789143883909077;0
4096;0.00000003973642981325298;0.00000007947285973752827;0
8192;0.00000000993410742555767;0.000000019868214962137642;0
16384;0.000000002483526828633842;0.000000004967053768289986;0
32768;0.0000000006208816794028849;0.0000000012417634698280722;0
65536;0.0000000001552203920951456;0.00000000031044089521259366;0
131072;0.000000000038805070268210784;0.00000000007761025155872403;0
262144;0.00000000000970123981147708;0.000000000019402590645256623;0
524288;0.000000000009173661830175206;0.00000000000334965388759656;0
1048576;0.000000000004337641357210487;0.000000000006732281399024487;0.000000000004999223257584617
2097152;0.000000000001198596777385319;0.000000000003679612170515156;0.0000000000006475930902638538
4194304;0.00000000000030253577421035516;0.0000000000019556578578772132;0.000000000002025601908428598
8388608;0.00000000000007760458942129844;0.0000000000032042146713706643;0.0000000000008535394613318203
16777216;0.000000000000008659739592076221;0.000000000001983635478097767;0.0000000000011196599203344704
33554432;0.00000000000001887379141862766;0.000000000001641464741908294;0.000000000000667021993194794
67108864;0.00000000000004463096558993129;0.0000000000009308109838457312;0.0000000000005596634267135414
134217728;0.00000000000009514611321037592;0.0000000000008467671008816069;0.00000000000034006131244268545
